Time;Server;Message_type;CPU Usage;Memory Usage;Latency;Transaction_ID;From_Server;Message
17.825537561664007;credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff;INFO;0.1;0.01;1.0457614747754653;b38bbf0b-45de-435e-8ab7-c74142fa628e;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;Requesting credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff by balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c
18.060112511720234;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;ERROR;0.7;0.07;7.016578236159777;b7a2671f-d4a9-4153-96a0-04a857c06be4;authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca;Error due to TIMEOUT
18.182160191269936;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;ERROR;1.0;0.12;10.073173061801178;650f8ee3-ebc0-4899-9be8-5e74222cd59f;client;Error due to TIMEOUT
18.28544360670444;authentication#37cd7f38-9399-4197-98e3-5d0c46f77465;INFO;0.1;0.01;1.0455538827957107;b31bb3de-da1a-48a9-a5c3-3111651aeb0c;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting authentication#37cd7f38-9399-4197-98e3-5d0c46f77465 by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
18.300254901811858;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;ERROR;0.6;0.06;6.0972374725573;5650e458-66e3-4c98-88cd-ea388935b662;authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29;Error due to TIMEOUT
18.391002311277436;credit#da83d6a6-1cfa-434a-bf29-9e35596eba9b;INFO;0.2;0.02;2.0260023039739172;bcc9f5a6-a013-4dc8-bc5c-2718703ab143;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;Requesting credit#da83d6a6-1cfa-434a-bf29-9e35596eba9b by balance#298e8b6e-d34a-41fc-b78a-38243c7a133e
18.39767584347207;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;ERROR;1.0;0.12;10.041141034953618;2490a394-21ec-4ef5-a8e0-b3b8aaaf76b1;client;Error due to TIMEOUT
18.64013613745697;authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b;ERROR;0.8;0.08;8.010505680205611;a0fce994-334b-4811-8667-08f37ac58ebb;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;Error due to TIMEOUT
18.687872556884344;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;ERROR;0.4;0.04;4.089956389560568;50f5a381-af83-4093-9cc0-9af6646184f3;authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b;Error due to TIMEOUT
18.72369105612195;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;ERROR;1.0;0.12;10.085726610877497;e46f1279-839b-430a-834b-267498a9a8aa;client;Error due to TIMEOUT
18.85195158361831;authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29;ERROR;0.5;0.05;5.056739930803986;2ee60bd3-3878-4678-8b52-dc89aea77f87;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;Error due to TIMEOUT
18.861989506920466;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;ERROR;0.8;0.1;8.048412041338626;c2d2a493-5cfd-4ce8-9bd9-17984223e672;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;Error due to TIMEOUT
19.09413447022611;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;ERROR;1.0;0.12;10.05474846162185;8a967cf1-246f-450f-94d2-a962329545e5;client;Error due to TIMEOUT
19.151934080035616;credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff;INFO;0.2;0.02;2.039365692909334;b7a2671f-d4a9-4153-96a0-04a857c06be4;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;Requesting credit#7ed01ede-7b86-4dd3-9641-c29af5eea4ff by balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09
19.373491289546884;credit#eb94a860-9123-4520-9d3b-34ab3b3b0c4d;INFO;0.2;0.02;2.0564282171470016;5650e458-66e3-4c98-88cd-ea388935b662;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;Requesting credit#eb94a860-9123-4520-9d3b-34ab3b3b0c4d by balance#298e8b6e-d34a-41fc-b78a-38243c7a133e
19.391004233011753;balance#4cdd46c4-7fd8-4154-8629-dd3fc4fe722c;ERROR;0.8;0.08;8.050629819450064;4893955d-2333-4b66-b21e-37a41488d452;client;Error due to TIMEOUT
19.522469166676476;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;ERROR;1.0;0.12;10.037630726595479;40a88562-0380-4d9b-b1a9-c94bbad573c0;client;Error due to TIMEOUT
19.588122275759787;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;ERROR;0.8;0.09;8.053588668902671;1b8abc28-6f6f-492d-be0c-f34f81e35af4;authentication#14592ee6-fac0-46bd-881a-52d4dbc86f29;Error due to TIMEOUT
19.812088558268943;balance#298e8b6e-d34a-41fc-b78a-38243c7a133e;ERROR;0.6;0.06;6.0183826793835635;1a5e0f72-9f95-4112-a35b-70fa0bc995ab;client;Error due to TIMEOUT
19.813113515292407;authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca;INFO;0.5;0.05;5.03783370220389;0636dbf6-acba-423a-a162-4b0dc7cf1d15;balance#c78dd101-15a9-4e95-b644-c7c74c835ea3;Requesting authentication#bef0e5ab-5292-4b4c-b8af-388e876460ca by balance#c78dd101-15a9-4e95-b644-c7c74c835ea3
20.010467233887063;authentication#7fbd1d06-dd5c-48b9-a27b-8d35cd6d33b8;ERROR;0.4;0.04;4.057510235840015;9e40861a-edf5-4e67-8cc3-4d903cf55ef2;balance#2f7f0bb9-eb65-4585-b142-f0c6c3682bf6;Error due to TIMEOUT
20.027472081538363;balance#ed4be325-ccf9-4d51-9255-02a5a19f6b09;ERROR;0.7;0.07;7.0889377738151556;0fce8ce1-599c-4836-a455-179c3f02adbc;authentication#68ebb694-4965-48e6-80ef-b41c8e492a5b;Error due to TIMEOUT
