,Server,Time_floor,variable,Value
66,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,66,CPU Usage,0.0
1073,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,66,Memory Usage,0.0
2080,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,66,Latency,0.0
67,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,67,CPU Usage,0.0
1074,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,67,Memory Usage,0.0
2081,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,67,Latency,0.0
68,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,68,CPU Usage,0.0
1075,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,68,Memory Usage,0.0
2082,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,68,Latency,0.0
69,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,69,CPU Usage,0.0
1076,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,69,Memory Usage,0.0
2083,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,69,Latency,0.0
70,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,70,CPU Usage,0.0
1077,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,70,Memory Usage,0.0
2084,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,70,Latency,0.0
71,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,71,CPU Usage,0.0
1078,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,71,Memory Usage,0.0
2085,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,71,Latency,0.0
72,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,72,CPU Usage,0.0
1079,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,72,Memory Usage,0.0
2086,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,72,Latency,0.0
73,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,73,CPU Usage,0.0
1080,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,73,Memory Usage,0.0
2087,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,73,Latency,0.0
74,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,74,CPU Usage,0.0
1081,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,74,Memory Usage,0.0
2088,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,74,Latency,0.0
75,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,75,CPU Usage,0.0
1082,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,75,Memory Usage,0.0
2089,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,75,Latency,0.0
76,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,76,CPU Usage,0.0
1083,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,76,Memory Usage,0.0
2090,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,76,Latency,0.0
77,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,77,CPU Usage,0.0
1084,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,77,Memory Usage,0.0
2091,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,77,Latency,0.0
78,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,78,CPU Usage,0.0
1085,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,78,Memory Usage,0.0
2092,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,78,Latency,0.0
79,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,79,CPU Usage,0.0
1086,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,79,Memory Usage,0.0
2093,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,79,Latency,0.0
80,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,80,CPU Usage,0.0
1087,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,80,Memory Usage,0.0
2094,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,80,Latency,0.0
81,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,81,CPU Usage,0.0
1088,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,81,Memory Usage,0.0
2095,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,81,Latency,0.0
82,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,82,CPU Usage,0.0
1089,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,82,Memory Usage,0.0
2096,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,82,Latency,0.0
83,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,83,CPU Usage,0.0
1090,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,83,Memory Usage,0.0
2097,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,83,Latency,0.0
84,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,84,CPU Usage,0.0
1091,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,84,Memory Usage,0.0
2098,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,84,Latency,0.0
85,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,85,CPU Usage,0.0
1092,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,85,Memory Usage,0.0
2099,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,85,Latency,0.0
86,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,86,CPU Usage,0.0
1093,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,86,Memory Usage,0.0
2100,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,86,Latency,0.0
87,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,87,CPU Usage,0.0
1094,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,87,Memory Usage,0.0
2101,balance#0374213f-74f2-462d-b0d7-2c3958143a2a,87,Latency,0.0
